Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Julian, Thomas H; Glascow, Nicholas; Fisher Barry, A Dylan; Moll, Tobias; Harvey, Calum; Klimentidis, Yann C, Newell, M; Zhang, Sai; Snyder, Michael P; Cooper-Knock, Johnathan; Shaw, Pamela J; ","Physical exercise is a risk factor for amyotrophic lateral sclerosis: Convergent evidence from Mendelian randomisation, transcriptomics and risk genotypes",EBioMedicine,,,,2021,Elsevier
"Zhang, Sai; Cooper-Knock, Johnathan; Weimer, Annika K; Harvey, Calum; Julian, Thomas H; Wang, Cheng; Li, Jingjing; Furini, Simone; Frullanti, Elisa; Fava, Francesca; ",Common and rare variant analyses combined with single-cell multiomics reveal cell-type-specific molecular mechanisms of COVID-19 severity,medRxiv,,,2021.06. 15.21258703,2021,Cold Spring Harbor Laboratory Press
"Iqbal, Ahmed; Greig, Marni; Arshad, Muhammad Fahad; Julian, Thomas H; Tan, Sher Ee; Elliott, Jackie; ","Higher admission activated partial thromboplastin time, neutrophil-lymphocyte ratio, serum sodium, and anticoagulant use predict in-hospital COVID-19 mortality in people with Diabetes: Findings from Two University Hospitals in the UK",diabetes research and clinical practice,178,,108955,2021,Elsevier
"Julian, Thomas H; Boddy, Sarah; Islam, Mahjabin; Kurz, Julian; Whittaker, Katherine J; Moll, Tobias; Harvey, Calum; Zhang, Sai; Snyder, Michael P; McDermott, Christopher; ",A review of Mendelian randomization in amyotrophic lateral sclerosis,Brain,145,3,832-842,2022,Oxford University Press
"Boddy, Sarah; Islam, Mahjabin; Moll, Tobias; Kurz, Julian; Burrows, David; McGown, Alexander; Bhargava, Anushka; Julian, Thomas H; Harvey, Calum; Marshall, Jack NG; ",Unbiased metabolome screen leads to personalized medicine strategy for amyotrophic lateral sclerosis,Brain Communications,4,2,fcac069,2022,Oxford University Press
"Harvey, Calum; Weinreich, Marcel; Zhang, Sai; Hop, Paul J; Zwamborn, Ramona AJ; van Eijk, Kristel; Julian, Thomas H; Moll, Tobias; Iacoangeli, Alfredo; Khleifat, Ahmad Al; ",Mitochondrial function determines severity but not risk of amyotrophic lateral sclerosis,BioRxiv,,,2022.05. 31.494229,2022,Cold Spring Harbor Laboratory
"Zhang, Sai; Cooper-Knock, Johnathan; Weimer, Annika K; Shi, Minyi; Kozhaya, Lina; Unutmaz, Derya; Harvey, Calum; Julian, Thomas H; Furini, Simone; Frullanti, Elisa; ",Multiomic analysis reveals cell-type-specific molecular determinants of COVID-19 severity,Cell systems,13,8,598-614. e6,2022,Elsevier
"Şanlı, Beyazıt Abdurrahman; Whittaker, Katherine J; Motsi, Gamuchirai K; Shen, Emery; Julian, Thomas H; Cooper-Knock, Johnathan; ",Unbiased metabolome screen links serum urate to risk of Alzheimer's disease,Neurobiology of Aging,120,,167-176,2022,Elsevier
"Cooper-Knock, Johnathan; Julian, Thomas; Feneberg, Emily; Highley, Robin; Sidra, Maurice; Turner, Martin; Talbot, Kevin; Ansorge, Olaf; Allen, Scott; Moll, Tobius; ",Atypical TDP-43 protein expression in an ALS pedigree carrying a p.Y374X truncation mutation in TARDBP,Brain Pathology,,,,2022,
"Julian, Thomas H; Cooper-Knock, Johnathan; MacGregor, Stuart; Guo, Hui; Aslam, Tariq; Sanderson, Eleanor; Black, Graeme CM; Sergouniotis, Panagiotis I; ",Phenome-wide Mendelian randomisation analysis identifies causal factors for age-related macular degeneration,Elife,12,,e82546,2023,"eLife Sciences Publications, Ltd"
"Julian, Thomas H; Girach, Zain; Sanderson, Eleanor; Guo, Hui; Yu, Jonathan; Cooper-Knock, Johnathan; Black, Graeme C; Sergouniotis, Panagiotis I; ",Causal factors in primary open angle glaucoma: a phenome-wide Mendelian randomisation study,Scientific Reports,13,1,9984,2023,Nature Publishing Group UK London
"Boddy, Sarah; Islam, Mahjabin; Moll, Tobias; Burrows, Julian Kurz1 David; McGown, Alexander; Bhargava, Anushka; Julian, Thomas H; Harvey, Calum; Marshall, Jack NG; Hall, Benjamin PC; ",BRAIN COMMUNICATIONS AIN COMMUNICATIONS,,,,,2022,
"Liampas, Andreas; Julian, Thomas Henry; Zis, Panagiotis; ",Alcohol-related autonomic dysfunction and peripheral neuropathy,Diet and Nutrition in Neurological Disorders,,,731-743,2023,Academic Press
"Alhathli, Elham; Julian, Thomas; Girach, Zain Ul Abideen; Thompson, AA Roger; Rhodes, Christopher; Gräf, Stefan; Errington, Niamh; Wilkins, Martin R; Lawrie, Allan; Wang, Dennis; ",Mendelian randomization study with clinical follow‐up links metabolites to risk and severity of pulmonary arterial hypertension,Journal of the American Heart Association,13,6,e032256,2024,
"Julian, TH; Glascow, N; Barry, ADF; Moll, T; Harvey, C; Klimentidis, YC; Newell, M; Zhang, S; Snyder, MP; Cooper-Knock, J; ","Physical exercise is a risk factor for amyotrophic lateral sclerosis: Convergent evidence from Mendelian randomisation, transcriptomics and risk genotypes. EBioMedicine 68: 103397",J. EBIOM,10,,,2021,
"Harvey, Calum; Weinreich, Marcel; Lee, James AK; Shaw, Allan C; Ferraiuolo, Laura; Mortiboys, Heather; Zhang, Sai; Hop, Paul J; Zwamborn, Ramona AJ; van Eijk, Kristel; ",Rare and common genetic determinants of mitochondrial function determine severity but not risk of amyotrophic lateral sclerosis,Heliyon,10,3,,2024,Elsevier
"Girach, Zain; Sarian, Arni; Maldonado-García, Cynthia; Ravikumar, Nishant; Sergouniotis, Panagiotis I; Rothwell, Peter M; Frangi, Alejandro F; Julian, Thomas H; ",Retinal imaging for the assessment of stroke risk: a systematic review,Journal of Neurology,271,5,2285-2297,2024,Springer Berlin Heidelberg Berlin/Heidelberg
"Maldonado-Garcia, Cynthia; Bonazzola, Rodrigo; Ferrante, Enzo; Julian, Thomas H; Sergouniotis, Panagiotis I; Ravikumara, Nishant; Frangi, Alejandro F; ",Predicting risk of cardiovascular disease using retinal oct imaging,arXiv preprint arXiv:2403.18873,,,,2024,
"Julian, Thomas Henry; Fitzgerald, Tomas; Birney, Ewan; Sergouniotis, Panagiotis I; ",Genomic Insights into Retinal Pigment Epithelium Thickness: An Exploration of Determinants and Associations with Pigmentation Phenotypes.,Investigative Ophthalmology & Visual Science,65,7,4236-4236,2024,The Association for Research in Vision and Ophthalmology
"García, Cynthia Maldonado; Bonazzola, Rodrigo; Ferrante, Enzo; Julian, Thomas H; Sergouniotis, Panagiotis I; Ravikumar, Nishant; Frangi, Alejandro F; ",Predicting risk of cardiovascular disease using retinal oct imaging,ArXiv abs/2403.18873,,,,2024,
"Julian, Thomas; ",Mitochondrial function determines severity but not risk of amyotrophic lateral sclerosis,,,,,2022,
"Julian, Thomas; ",Sampling trabecular meshwork using TrabEx.,BMC ophthalmology,,,,2021,Springer Nature
"Julian, Thomas; ",Unbiased Metabolome Screen Links Serum Urate to Risk of Alzheimer's Disease,SSRN Electronic Journal,,,,2022,Social Science Research Network
"Julian, Thomas H; Fitzgerald, Tomas; UK Biobank Eye and Vision Consortium; Birney, Ewan; Sergouniotis, Panagiotis I; ",Pigmentation and retinal pigment epithelium thickness: a study of the phenotypic and genotypic relationships between ocular and extraocular pigmented tissues,Pigment Cell & Melanoma Research,38,4,e70038,2025,
"Cooper-Knock, J; Boddy, S; Islam, M; Kurz, J; Julian, T; Harvey, C; Moll, T; Marshall, J; Kenna, K; Zhang, S; ",Theme 01-EPIDEMIOLOGY AND INFORMATICS.,Amyotrophic Lateral Sclerosis & Frontotemporal Degeneration,22,,,2021,
"Zis, Panagiotis; Julian, Thomas; Hadjivassiliou, Marios; ",nutrients MDPI,Extraintestinal Manifestations of Coeliac Disease,,,213,2019,MDPI
"O’Brien, David; Alhathli, Elham; Harwood, Ceryl; Bhattacharya, Debarati; Gupta, Kriti; Julian, Thomas; Weinreich, Marcel; West, Ryan JH; Wang, Dennis; Byrne, Ross P; ",Extreme exercise in males is linked to mTOR signalling and onset of amyotrophic lateral sclerosis,Brain,148,10,3652-3664,2025,Oxford University Press UK
"Green, David J; Romero-Bascones, David; Julian, Thomas H; Torchia, Sofia; Joisher, Heer NV; Ayala, Unai; Barrenechea, Maitane; Self, Jay E; Black, Graeme C; Fitzgerald, Tomas; ",Genetic insights into foveal morphology and its associations with pigmentation and age-related macular degeneration,medRxiv,,,,2025,
"Julian, Thomas H; Dou, Haoran; Duan, Jinming; Huang, Jinghan; Yoo, Esther; Green, David J; Strange, Andrew; Alhathli, Elham; Sperrin, Matthew; Keane, Pearse A; ",Ophthalmic imaging as a measure of cardiovascular and neurological health: a multi-omic analysis of deep-learning derived phenotypes,medRxiv,,,,2025,
"Gul, Aytac; Ryder, Oliver F; Alhathli, Elham; Kelsall, Alan; Julian, Thomas; Cooper-Knock, Johnathan; ",Genetic analysis of congenital and adult-onset lactose intolerance points to anti-­inflammatory effects of dairy products,"BMJ Nutrition, Prevention & Health",,,,2025,
"Maldonado-Garcia, Cynthia; Bonazzola, Rodrigo; Ferrante, Enzo; Julian, Thomas H; Sergouniotis, Panagiotis I; Ravikumar, Nishant; Frangi, Alejandro F; ",Predicting cardiovascular disease risk using retinal optical coherence tomography imaging,Frontiers in Artificial Intelligence,8,,1624550,2025,Frontiers Media SA
"Alhathli, Elham; Cooper-Knock, Johnathan; Girach, Zain-Ul-Abideen; Julian, Thomas H; Bauer, Claudia; Timmons, Hannah O; Ward, Billie D; Walker, Heather; Azzouz, Mimoun; Elrayess, Mohamed A; ",Hypothesis-free evaluation of circulating metabolome provides cell-specific insights regarding the role of energy substrate availability in amyotrophic lateral sclerosis,BMC medicine,,,,2026,BioMed Central London
"Maldonado-Garcia, C; Bonazzola, R; Julian, T; Raisi-Estabragh, Z; Sergouniotis, P; Ravikumar, N; Frangi, AF; ",Mendelian randomisation studies of optical coherence tomography-derived retinal phenotypes and cardiovascular disease,European Heart Journal,46,Supplement_1,ehaf784. 4363,2025,Oxford University Press US
"Strange, Andrew; Alhathli, Elham; Julian, Thomas; Cooper-Knock, Johnathan; Shaw, Pamela; ",SESSION 8B PRECLINICAL AND PRODROMAL ALS,Platform Communications: Abstract Book 36th International Symposium on ALS/MND (Complete printable file),,,53,,
"Sarian, A; Girach, Z; Cooper-Knock, J; Frangi, AF; Sergouniotis, PI; Julian, TH; ",Ophthalmic Features in Stroke Patients: A Systematic Review of Imaging Studies,Current Eye Research,,,1-12,2026,Taylor & Francis
"Julian, Thomas H; Dou, Haoran; Duan, Jinming; Huang, Jinghan; Yoo, Esther; Green, David J; Strange, Andrew; Alhathli, Elham; Sperrin, Matthew; Keane, Pearse A; ",Multi-omic analysis of deep learning-derived phenotypes links ophthalmic imaging to cardiovascular and neurological traits,Nature Cardiovascular Research,5,6,541-554,2026,Nature Publishing Group
"Julian, Thomas Henry; Dou, Haoran; Duan, Jinming; Huang, Jinghan; Yoo, Esther; Green, David J; Strange, Andrew; Alhathli, Elham; Sperrin, Matthew; Keane, Pearse Andrew; ",A multi-omic exploration of how ophthalmic imaging features relate to cardiovascular and neurodegenerative disease.,Investigative Ophthalmology & Visual Science,67,7,2492-2492,2026,The Association for Research in Vision and Ophthalmology
"Sergouniotis, Panos; Green, David J; Julian, Thomas; Romero-Bascones, David; Torchia, Sofia; Joisher, Heer NV; Ayala, Unai; Barrenechea, Maitane; Self, Jay E; Black, Graeme C; ",Genetic architecture of foveal morphology and its link to age-related macular degeneration risk,Investigative Ophthalmology & Visual Science,67,7,1499-1499,2026,The Association for Research in Vision and Ophthalmology
